,Segments,Type,YEAR,Total exports million USD,Main exports destiny,Value exports main partner,Partner share (%),Total Imports million U$S,Main imports origin,Value imports main partner,COUNTRY,DESCRIPTION,VALUE,PARTNER,SOURCE
118,,,2018.0,,,,,,,,South Africa,Imports of Orthopaedic Apppliances 2010-2019 (Rand Millions ~approximately),2.034,,Overview of the health technology sector in South Africa
119,,,2018.0,,,,,,,,South Africa,Imports of Medical Instruments and Devices 2010-2019 (Rand Millions ~approximately),0.678,,Overview of the health technology sector in South Africa
120,,,2020.0,,,,,,,,Mexico,Imports (USD million),1.76,,
121,,,2020.0,,,,,,,,Mexico,Exports (USD million),5.773,,
122,,,2021.0,,,,,,,,Mexico,Exports (MXN million),36.0,,
123,,,2021.0,,,,,,,,Mexico,Imports (MXN million),110.0,,
124,,,2022.0,,,,,,,,Mexico,Imports (USD million),6.237,,
125,,,2022.0,,,,,,,,Mexico,Exports (USD million),2.178,,
126,,,2019.0,,,,,,,,India,CONTRACEPTIVE BASED ON HORMONES ,138.16,,
127,,,2019.0,,,,,,,,India,OTHR MADE UP ARTCLSOTHRTHNCOTTION,200.45,,
128,,,2019.0,,,,,,,,India,Other- Electro - DiagnostcApprts,108.91,,
129,,,2019.0,,,,,,,,India,Cannulae,82.75,,
130,,,2019.0,,,,,,,,India,Others medical exports,174.6,,
131,,,2019.0,,,,,,,,India,Other Diagonostics Instruments ,31.1,,
132,,,2019.0,,,,,,,,India,Other Surgical Instruments and Appliances ( INCLVTRNRY),78.2,,
133,,,2019.0,,,,,,,,India,Orthopaedic or fracture appliances ,38.51,,
134,,,2019.0,,,,,,,,India,X-ray tubes **,125.91,,
135,,,2019.0,,,,,,,,India,Other medical exports,87.43,,
136,,,2019.0,,,,,,,,India,imports (rupias),41110.0,,
137,,,2019.0,,,,,,,,India,exports (rupias),132585.0,,
138,,,2019.0,,,,,,,,India,exports medical devices (USD million),2138.14,,
139,,,2019.0,,,,,,,,India,imports medical devices (USD million),5700.44,,
140,,,2019.0,,,,,,,,India,imports (USD billion),5.65,,
141,,,2019.0,,,,,,,,India,exports (USD billion),18.75,,
142,,,2020.0,,,,,,,,India,CONTRACEPTIVE BASED ON HORMONES ,144.19,,
143,,,2020.0,,,,,,,,India,OTHR MADE UP ARTCLSOTHRTHNCOTTION,145.7,,
144,,,2020.0,,,,,,,,India,Other- Electro - DiagnostcApprts,95.33,,
145,,,2020.0,,,,,,,,India,Cannulae,95.5,,
146,,,2020.0,,,,,,,,India,Other medical exports,189.23,,
147,,,2020.0,,,,,,,,India,Other Diagonostics Instruments ,66.92,,
148,,,2020.0,,,,,,,,India,Other Surgical Instruments and Appliances ( INCLVTRNRY),102.01,,
149,,,2020.0,,,,,,,,India,Orthopaedic or fracture appliances ,52.86,,
150,,,2020.0,,,,,,,,India,X-ray tubes **,133.52,,
151,,,2020.0,,,,,,,,India,Other medical exports,81.35,,
152,,,2020.0,,,,,,,,India,imports (rupias),42943.0,,
153,,,2020.0,,,,,,,,India,exports (rupias),147420.0,,
154,,,2020.0,,,,,,,,India,exports medical devices (USD million),2292.87,,
155,,,2020.0,,,,,,,,India,imports medical devices (USD million),5845.41,,
156,,,2020.0,,,,,,,,India,imports (USD billion),5.83,,
157,,,2020.0,,,,,,,,India,exports (USD billion),20.0,,
158,,,2021.0,,,,,,,,India,Consumables & Disposables,1290.0,,
159,,,2021.0,,,,,,,,India,Surgical Instruments,54.0,,
160,,,2021.0,,,,,,,,India,Electronics Equipment,985.0,,
161,,,2021.0,,,,,,,,India,Implants,99.0,,
162,,,2021.0,,,,,,,,India,IVD Reagent,104.0,,
163,,,2021.0,,,,,,,,India,imports (rupias),49436.0,,
164,,,2021.0,,,,,,,,India,exports (rupias),180555.0,,
165,,,2021.0,,,,,,,,India,exports medical devices (USD million),2531.62,,
166,,,2021.0,,,,,,,,India,imports medical devices (USD million),6240.55,,
167,,,2021.0,,,,,,,,India,imports (USD billion),6.66,,
168,,,2021.0,,,,,,,,India,exports (USD billion),24.35,,
169,,,2022.0,,,,,,,,India,Consumables & Disposables,1378.0,,
170,,,2022.0,,,,,,,,India,Surgical Instruments,71.0,,
171,,,2022.0,,,,,,,,India,Electronics Equipment,1163.0,,
172,,,2022.0,,,,,,,,India,Implants,135.0,,
173,,,2022.0,,,,,,,,India,IVD Reagent,176.0,,
174,,,2022.0,,,,,,,,India,imports (rupias),60060.0,,
175,,,2022.0,,,,,,,,India,exports (rupias),174955.0,,
